Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Unit_price,Avg_price,price_range,unique_prices
09/01/2016,5464,1108,FEW,F79YP,1.0,16.91,16.91,9.732500000000002,4.029999999999999,8
09/01/2016,6696,1140,PA3,W45SJ,1.0,21.75,21.75,21.75,4.375,7
09/01/2016,707,1143,QV7,FZM7U,2.0,21.72,10.86,10.86,6.665,72
09/01/2016,7010,1145,R6E,KS95Q,3.0,16.0,5.333333333333333,5.310303030303031,5.366666666666667,26
09/01/2016,3158,1159,C3R,Q4DBK,1.0,19.12,19.12,19.12,4.289999999999999,5
09/01/2016,5926,1161,7C6,29GV1,1.0,28.88,28.88,16.64,5.59,5
09/01/2016,5719,1183,1L6,PQ5EZ,1.0,9.93,9.93,12.323333333333332,6.265000000000001,15
09/01/2016,6053,1195,Q4N,F2HBX,1.0,8.37,8.37,10.381666666666666,5.670000000000001,19
09/01/2016,6053,1195,R6E,DUV2Y,1.0,7.81,7.81,5.310303030303031,4.070000000000001,18
09/01/2016,1300,1200,J4R,ZE55T,1.0,21.34,21.34,9.84,5.586666666666666,8
10/01/2016,3336,1212,2ML,3483Q,1.0,7.29,7.29,6.996666666666667,7.41,8
10/01/2016,2650,1242,2ML,3483Q,1.0,7.29,7.29,6.996666666666667,7.41,8
10/01/2016,4720,1247,Q4N,967JZ,1.0,10.56,10.56,5.930000000000001,6.89,20
10/01/2016,6029,1258,0H2,CZUZX,1.0,6.35,6.35,5.714285714285714,6.535,13
10/01/2016,1326,1265,29A,IFUHU,1.0,11.19,11.19,6.790000000000001,7.156666666666667,24
10/01/2016,8744,1269,LGI,2EA1M,2.0,9.93,4.965,4.965,5.66,12
10/01/2016,8850,1274,QV7,FZM7U,1.0,7.59,7.59,7.59,6.665,72
10/01/2016,8488,1299,29A,PO1N6,1.0,7.44,7.44,6.790000000000001,6.64,18
10/01/2016,2312,1301,FEW,F79YP,1.0,16.91,16.91,7.340999999999999,4.029999999999999,8
11/01/2016,3459,1328,FEW,F79YP,1.0,16.91,16.91,10.15,4.029999999999999,8
11/01/2016,3719,1348,29A,IFUHU,1.0,11.19,11.19,8.33625,7.156666666666667,24
11/01/2016,7901,1352,PBV,55TC6,1.0,39.29,39.29,80.51901515151515,6.450980392156872,7
11/01/2016,1928,1378,BR0,XEP2E,1.0,27.08,27.08,27.08,5.919999999999998,5
11/01/2016,2788,1381,C8Z,520UE,1.0,9.06,9.06,11.175000000000002,5.463333333333335,17
11/01/2016,3894,1384,0H2,CZUZX,1.0,6.35,6.35,6.347499999999999,6.535,13
11/01/2016,7463,1394,R6E,KS95Q,3.0,16.0,5.333333333333333,6.773589743589743,5.366666666666667,26
11/01/2016,1725,1404,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
11/01/2016,3736,1418,LPF,BOH1U,1.0,26.09,26.09,11.338947368421051,4.399999999999999,5
11/01/2016,8328,1420,29A,PO1N6,1.0,7.44,7.44,8.33625,6.64,18
11/01/2016,6507,1424,29A,PO1N6,1.0,7.44,7.44,8.33625,6.64,18
11/01/2016,8163,1434,R6E,0DCAY,1.0,22.38,22.38,6.773589743589743,13.820000000000002,22
11/01/2016,2344,1446,29A,PO1N6,1.0,7.44,7.44,8.33625,6.64,18
11/01/2016,3117,1448,SJS,WMIC0,1.0,71.84,71.84,48.097857142857144,7.1200000000000045,7
11/01/2016,1031,1465,R6E,DUV2Y,1.0,7.81,7.81,6.773589743589743,4.070000000000001,18
11/01/2016,9634,1469,PBV,I68JU,1.0,41.73,41.73,80.51901515151515,8.892352941176476,7
11/01/2016,2396,1478,PA3,W45SJ,1.0,21.75,21.75,27.465,4.375,7
11/01/2016,978,1494,0H2,CZUZX,1.0,6.35,6.35,6.347499999999999,6.535,13
11/01/2016,9582,1495,0H2,LQ555,1.0,7.57,7.57,6.347499999999999,8.440000000000001,7
11/01/2016,8583,1498,QV7,FZM7U,1.0,5.84,5.84,5.84,6.665,72
11/01/2016,1694,1504,C8Z,8KNYA,1.0,17.37,17.37,11.175000000000002,4.814999999999998,7
12/01/2016,5513,1506,0H2,LQ555,1.0,7.57,7.57,6.641,8.440000000000001,7
12/01/2016,737,1511,R6E,DUV2Y,1.0,7.81,7.81,3.785833333333334,4.070000000000001,18
12/01/2016,3770,1550,29A,0PW5H,3.0,22.38,7.46,5.6883333333333335,6.870000000000001,16
12/01/2016,5921,1559,PHK,SN48W,2.0,246.47,123.235,57.788333333333334,42.045,9
12/01/2016,1591,1609,1L6,PQ5EZ,1.0,9.93,9.93,8.375,6.265000000000001,15
12/01/2016,137,1650,R6E,KS95Q,1.0,8.0,8.0,3.785833333333334,5.366666666666667,26
12/01/2016,137,1650,29A,0PW5H,1.0,11.19,11.19,5.6883333333333335,6.870000000000001,16
12/01/2016,2423,1653,Q4N,967JZ,1.0,10.56,10.56,9.1925,6.89,20
12/01/2016,9407,1683,XG4,6SPWZ,20.0,1.75,0.0875,2.859375,7.8776,7
13/01/2016,7406,1706,0H2,CZUZX,1.0,6.35,6.35,6.381111111111111,6.535,13
13/01/2016,699,1711,PA3,W45SJ,1.0,21.75,21.75,21.75,4.375,7
13/01/2016,5366,1748,29A,PO1N6,1.0,7.44,7.44,6.22861111111111,6.64,18
13/01/2016,7083,1752,R6E,DUV2Y,1.0,7.81,7.81,4.239166666666667,4.070000000000001,18
13/01/2016,6179,1753,PBV,6WHIK,2.0,89.32,44.66,27.8525,6.786969696969699,5
13/01/2016,699,1758,BR0,XEP2E,1.0,27.08,27.08,27.08,5.919999999999998,5
13/01/2016,2696,1771,0H2,CZUZX,1.0,6.35,6.35,6.381111111111111,6.535,13
13/01/2016,3801,1780,FEW,F79YP,1.0,16.91,16.91,11.928,4.029999999999999,8
